hit	subject	id	len	eval	cov	EC
tr|A0A317C120|A0A317C120_9GAMM	P47990	41.765	0.0	94		1.17.3.2
tr|A0A317C1E1|A0A317C1E1_9GAMM	P05050	55.869	2.3399999999999992e-89	98		1.14.11.33
tr|A0A317C1T1|A0A317C1T1_9GAMM	P43334	49.425	2.12e-93	99		1.14.16.1
tr|A0A317C1Z2|A0A317C1Z2_9GAMM	A4XTR2	69.737	4.039999999999998e-120	90		1.3.3.11
tr|A0A317C222|A0A317C222_9GAMM	O85057	42.765	7.329999999999999e-70	67		1.14.14.51 1.14.14.52
tr|A0A317C4C6|A0A317C4C6_9GAMM	O69583	44.0	0.004	70		1.10.2.2
tr|A0A317C4Y7|A0A317C4Y7_9GAMM	Q9AGP2	48.836999999999996	1.08e-26	88		1.5.3.1
tr|A0A317C6W3|A0A317C6W3_9GAMM	Q9AIX7	61.895	0.0	98		1.14.13.208
tr|A0A317C9M7|A0A317C9M7_9GAMM	O85057	45.263000000000005	1.0499999999999997e-70	63		1.14.14.51 1.14.14.52
tr|A0A317CA63|A0A317CA63_9GAMM	O87386	42.403	0.0	99		1.5.3.1
tr|A0A317CAD2|A0A317CAD2_9GAMM	Q6SSJ6	48.58	0.0	99		1.14.13.23
tr|A0A317CAM3|A0A317CAM3_9GAMM	Q9AIX6	58.275	3.67e-173	99		1.14.13.208
tr|A0A317CB12|A0A317CB12_9GAMM	P40875	61.0	1.9299999999999996e-174	96		1.5.3.1
tr|A0A317CD28|A0A317CD28_9GAMM	P56100	72.0	9.06e-09	76		1.10.3.14
tr|A0A317CEQ8|A0A317CEQ8_9GAMM	Q9ZVF6	44.526	2.2599999999999997e-73	95		1.14.11.18
tr|A0A317CF07|A0A317CF07_9GAMM	Q9DCM0	46.053000000000004	2.8599999999999994e-62	93		1.13.11.18
tr|A0A317CFJ0|A0A317CFJ0_9GAMM	Q9HZ00	47.761	1.7699999999999995e-84	91		1.13.11.24
tr|A0A317CGI6|A0A317CGI6_9GAMM	P0ABK3	54.762	1.0099999999999997e-154	99		1.10.3.14
tr|A0A317CGP0|A0A317CGP0_9GAMM	P76077	64.821	4.919999999999999e-153	99		1.14.13.149
tr|A0A317CH45|A0A317CH45_9GAMM	Q8GAI3	46.875	8.93e-12	97		1.5.3.19
tr|A0A317CHF1|A0A317CHF1_9GAMM	P0CS93	42.208999999999996	1.3899999999999997e-108	53		1.1.3.9
tr|A0A317CHN5|A0A317CHN5_9GAMM	Q55710	45.593999999999994	1.6399999999999998e-67	95		1.4.3.19
tr|A0A317CI39|A0A317CI39_9GAMM	O85057	43.243	1.5899999999999997e-63	63		1.14.14.51 1.14.14.52
tr|A0A317CI51|A0A317CI51_9GAMM	P22868	40.634	5.779999999999999e-96	96		1.14.13.25
tr|A0A317CJN1|A0A317CJN1_9GAMM	P0ABK1	66.536	0.0	96		1.10.3.14
tr|A0A317CJU3|A0A317CJU3_9GAMM	D9IA43	74.62	0.0	97		1.9.3.1
tr|A0A317CK00|A0A317CK00_9GAMM	Q2SF51	61.663000000000004	0.0	99		1.1.5.4
tr|A0A317CKM8|A0A317CKM8_9GAMM	Q51363	66.102	0.0	99		1.4.3.16
tr|A0A317CKR4|A0A317CKR4_9GAMM	Q08855	53.68600000000001	0.0	95		1.9.3.1
tr|A0A317CLE6|A0A317CLE6_9GAMM	O31214	63.636	3.2299999999999996e-91	100		1.10.2.2
tr|A0A317CLP3|A0A317CLP3_9GAMM	O87386	43.718999999999994	0.0	99		1.5.3.1
tr|A0A317CLU0|A0A317CLU0_9GAMM	Q46336	51.163000000000004	7.72e-28	88		1.5.3.1
tr|A0A317CN46|A0A317CN46_9GAMM	A1SWM1	83.79899999999999	0.0	99		1.11.1.21
tr|A0A317CN75|A0A317CN75_9GAMM	B7JZR4	57.547	6.559999999999997e-88	100		1.4.3.5
tr|A0A317CNG0|A0A317CNG0_9GAMM	O85057	41.118	2.0699999999999996e-66	65		1.14.14.51 1.14.14.52
tr|A0A317CNH9|A0A317CNH9_9GAMM	P0A2F4	71.649	1.0499999999999998e-103	100		1.15.1.1
tr|A0A317CPT6|A0A317CPT6_9GAMM	P40875	62.0	1.6799999999999994e-175	96		1.5.3.1
tr|A0A317CPV7|A0A317CPV7_9GAMM	P45686	62.385	3.17e-55	100		4.1.1.39
tr|A0A317CQP3|A0A317CQP3_9GAMM	Q8VW94	87.473	0.0	99		4.1.1.39
tr|A0A317CQU9|A0A317CQU9_9GAMM	Q03073	60.173	0.0	96		1.9.3.1
tr|A0A317CQY8|A0A317CQY8_9GAMM	P37339	57.107	1.2899999999999997e-161	99		1.1.3.15
tr|A0A317CR87|A0A317CR87_9GAMM	Q8GAI3	43.21	0.0	99		1.5.3.19
tr|A0A317CTZ5|A0A317CTZ5_9GAMM	O85057	41.31100000000001	3.6e-60	64		1.14.14.51 1.14.14.52
