EC	description	uniprot	transferred
1.1.1.170	3-beta-hydroxysteroid-4-alpha-carboxylate 3-dehydrogenase(decarboxylating).	O43050 P53199 Q9FX01 Q67ZE1 A9X4U2 Q3ZBE9 Q54L85 Q15738 Q9R1J0 Q5PPL3	False
1.1.1.270	3-beta-hydroxysteroid 3-dehydrogenase.	P56937 O88736 Q62904 Q3ZBV9 Q71R50 Q6UWP2 Q3U0B3 Q74ZZ0 Q874K0 Q6FIV3 Q6BNP0 Q6CJC2 O74732 Q6CE88 Q12452	False
1.1.3.10	Pyranose oxidase.	Q5B2E9 Q75ZP8 Q8J136 Q6QWR1 Q6UG02 P59097 Q5G234 P79076 Q8J2V8	False
1.1.3.11	L-sorbose oxidase.		False
1.1.3.12	Pyridoxine 4-oxidase.	Q9AJD6	False
1.1.3.13	Alcohol oxidase.	F2QY27 P04842 F2R038 C4R702 Q00922 P04841	False
1.1.3.14	Catechol oxidase (dimerizing).		False
1.1.3.15	(S)-2-hydroxy-acid oxidase.	Q9LRR9 B8AKX6 Q10CE4 Q9LRS0 Q01KC2 Q7XPR4 Q24JJ8 B8AUI3 Q7FAS1 Q9LJH5 B8B8K5 Q8H3I4 O49506 B8B7C5 Q6YT73 P05414 Q9UJM8 Q9WU19 Q3ZBW2 Q9NYQ3 Q9NYQ2 Q07523 Q54E41 P37339	False
1.1.3.16	Ecdysone oxidase.		False
1.1.3.17	Choline oxidase.	P16101 Q7X2H8	False
1.1.3.18	Secondary-alcohol oxidase.		False
1.1.3.19	4-hydroxymandelate oxidase (decarboxylating).		False
1.1.3.20	Long-chain-alcohol oxidase.	Q9ZWB9 B5WWZ8 B5WWZ9 Q9LW56 O65709 Q94BP3	False
1.1.3.21	Glycerol-3-phosphate oxidase.	O86963 Q9CG65 Q99YI8 P0DB20 Q5XAK0 Q8NZX0 P35596 P0DB21	False
1.1.3.23	Thiamine oxidase.		False
1.1.3.27	Hydroxyphytanate oxidase.		False
1.1.3.28	Nucleoside oxidase.		False
1.1.3.29	N-acylhexosamine oxidase.		False
1.1.3.30	Polyvinyl-alcohol oxidase.		False
1.1.3.37	D-arabinono-1,4-lactone oxidase.	Q752Y3 O93852 Q6FS20 Q6BZA0 Q6CSY3 Q7SGY1 Q9HDX8 Q6CG88 P54783	False
1.1.3.38	Vanillyl-alcohol oxidase.	P56216	False
1.1.3.39	Nucleoside oxidase (H(2)O(2)-forming).		False
1.1.3.4	Glucose oxidase.	P13006 P81156 Q92452	False
1.1.3.40	D-mannitol oxidase.		False
1.1.3.41	Alditol oxidase.	Q9ZBU1 Q9KX73	False
1.1.3.42	Prosolanapyrone-II oxidase.	D7UQ40	False
1.1.3.43	Paromamine 6'-oxidase.	Q53U15	False
1.1.3.44	6'''-hydroxyneomycin C oxidase.	Q53U15	False
1.1.3.45	Aclacinomycin-N oxidase.	Q0PCD7	False
1.1.3.46	4-hydroxymandelate oxidase.	O52792	False
1.1.3.47	5-(hydroxymethyl)furfural oxidase.	E4QP00	False
1.1.3.48	3-deoxy-alpha-D-manno-octulosonate 8-oxidase.	Q8EEB0	False
1.1.3.49	(R)-mandelonitrile oxidase.		False
1.1.3.5	Hexose oxidase.	P93762	False
1.1.3.6	Cholesterol oxidase.	P22637 P9WMV8 P9WMV9 P12676	False
1.1.3.7	Aryl-alcohol oxidase.		False
1.1.3.8	L-gulonolactone oxidase.	Q9C614 Q6NQ66 Q9LYD8 Q9FM82 O81030 O81032 Q9FM84 Q3ZC33 P58710 Q8HXW0 P10867 Q90YK3	False
1.1.3.9	Galactose oxidase.	P0CS93 I1S2N3	False
1.1.5.4	Malate dehydrogenase (quinone).	Q9HYF4 Q88PU7 Q5HDJ0 P65421 P65422 Q6GE66 Q6G6V5 P65423 Q5HLN0 Q8CN91 Q9HVF1 Q88NF9 Q5HCU5 P65424 P99115 Q6GDJ6 Q6G669 Q8NUM4 Q5HKN2 Q8CQ96 Q88IS4 Q5HKD6 Q8CQE8 Q5HL19 Q8CMY4 Q6FDG0 B7GYG6 B7I894 B2HV78 A3M361 B0V946 A3N262 B3H2E6 B0BR13 Q8UH73 A8I2M2 C3NZS9 C3LEY8 A0RFE8 Q81P44 B7JSX2 Q735Z0 B7ILI6 C1EYZ6 B7H655 B7HVJ1 A7GQI9 B9J484 Q81C25 Q639Y8 Q9Z9Q7 Q6HHE0 A9VJG1 Q1LU84 Q7VRS0 Q492E3 Q2KX12 Q89XM4 C0Z9W8 Q1BKI8 A0AWY9 Q390Q5 P56954 Q1QUD2 A8AE07 A5CPE3 B0RIH2 C3PH30 Q6NGL9 Q8FP91 A4QF08 O69282 Q4JV42 A7MNG1 A7ZP32 B7UFM4 B7MFC3 B7LAN4 Q8XE45 B5YX02 B7NN21 B7MXP1 B7M5Q1 C4ZU53 B1X8A6 A8A273 A1AD63 Q0TFN1 Q8FFQ5 B1IY62 P33940 B7N5H2 B6I1A8 B1LKV7 Q1R9K7 A4WCM3 B7LMB2 B1YG64 C4L056 A5FGX2 A6H0E6 Q5L055 C5DAE0 A4IMR6 Q5FP90 Q0BTB0 Q7VPC3 Q2SF51 Q17VT7 Q7VFF6 B6JPI8 Q1CV68 Q9ZMY5 O24913 O32719 B2GFJ0 Q6AGY2 B1HNU2 Q1GXL1 C5CAA3 P65420 A1KMJ5 C1AFW6 A4TCE3 B2HJU4 Q73VU0 A0QVL2 A3PY62 A1UEQ5 Q1BAA7 A5U6K4 P9WJP4 P9WJP5 A1T7G4 Q5F5E9 B4RQQ5 A9M485 Q9JWK3 Q9JXD7 A1KWH2 Q8CV11 A1R7M9 Q6D2L3 C6DAM1 A3PBD7 A2C0M6 A8G3D1 A2CBH2 A9BE38 A2BV78 Q31CB9 Q7VDF8 B4F088 Q7V8S6 Q7V2Q2 A2BPP7 Q46GZ7 B8HAT7 Q9S3Q5 Q887Z4 Q8XRL7 A9WQR6 C0ZY77 Q0S251 Q6NA55 B3QK65 A8GBY8 B2TV25 Q31Z33 Q32I11 Q3YZZ7 Q2NS49 B2FSQ8 Q7U5L7 A5GRE3 Q3AWX1 Q3ALG7 C4LEV7 Q8D1V2 Q7MBG6 B2I8R2 Q9PET6 B0U4L2 Q87AS0	False
1.1.99.18	Cellobiose dehydrogenase (acceptor).	Q01738	False
1.1.99.9	Pyridoxine 5-dehydrogenase.		False
1.10.2.1	L-ascorbate--cytochrome-b5 reductase.		False
1.10.2.2	Quinol--cytochrome-c reductase.	P29677 Q6NGA3 Q8FNR2 Q79VE9 P63886 P15878 P9WP36 P9WP37 Q9X806 Q9ZFB6 Q6NGA1 Q8FNR0 Q8NNK5 P63888 O69583 P9WP34 P9WP35 Q94JS0 P49729 Q9LYR2 P51132 P51133 P51134 P51135 O31214 Q69BJ9 P81380 P13272 P51130 Q5ZLR5 Q69BK1 Q69BK0 Q69BK4 P47985 Q69BJ8 P49727 Q9CR68 P07056 Q69BK6 Q69BK5 P05417 Q69BK3 P20788 P0CY48 D5ANZ2 P23136 Q02762 Q1RIA5 Q92IR2 Q4UKR6 Q9ZDQ5 Q68XA0 Q69BJ7 Q09154 P37841 Q69BJ6 Q69BK2 P08067	False
1.10.3.1	Catechol oxidase.	Q9ZP19 Q9MB14 Q08303 Q08304 Q06355 Q08305 Q08306 Q08307 Q08296 P43309 O81103 P43310 Q06215 P43311 P85026	False
1.10.3.10	Ubiquinol oxidase (H(+)-transporting).	P26458 P26459 P57543 Q8K994 Q89AA4 P0ABJ0 P0ABI9 P0ABI8 Q9I426 Q9WWR2	False
