tr|A0A317BZW7|A0A317BZW7_9GAMM	sp|Q6YTF5|C76M5_ORYSJ	33.898	3.9	13
tr|A0A317BZY2|A0A317BZY2_9GAMM	sp|Q5VYX0|RNLS_HUMAN	22.143	5.0	27
tr|A0A317BZZ2|A0A317BZZ2_9GAMM	sp|Q57X81|JBP2_TRYB2	22.642	0.015	28
tr|A0A317C019|A0A317C019_9GAMM	sp|P60355|MCAT_LACPN	42.308	8.7	11
tr|A0A317C020|A0A317C020_9GAMM	sp|Q2QXB3|DOHH1_ORYSJ	31.915	1.7	32
tr|A0A317C021|A0A317C021_9GAMM	sp|A2RUC4|TYW5_HUMAN	31.884	0.63	17
tr|A0A317C029|A0A317C029_9GAMM	sp|E3VWJ9|PENM_STREX	24.590	5.2	60
tr|A0A317C030|A0A317C030_9GAMM	sp|Q0K815|KATG_CUPNH	28.421	1.5	41
tr|A0A317C035|A0A317C035_9GAMM	sp|B1XYE2|PDXH_LEPCP	25.581	1.3	57
tr|A0A317C040|A0A317C040_9GAMM	sp|Q8ZCR0|HMP_YERPE	23.776	2.2	52
tr|A0A317C041|A0A317C041_9GAMM	sp|Q9Y8G7|C505_FUSOX	50.000	0.73	12
tr|A0A317C046|A0A317C046_9GAMM	sp|B1VTI5|GRIF_STRGG	25.333	0.021	14
tr|A0A317C050|A0A317C050_9GAMM	sp|P19732|DMPN_PSEUF	42.308	3.4	16
tr|A0A317C051|A0A317C051_9GAMM	sp|Q8CGV2|TPH2_MOUSE	29.688	6.7	28
tr|A0A317C057|A0A317C057_9GAMM	sp|P20372|PCXB_ACIAD	34.783	0.58	64
tr|A0A317C060|A0A317C060_9GAMM	sp|L7X0L7|P6H_PAPSO	27.500	6.0	26
tr|A0A317C061|A0A317C061_9GAMM	sp|A7HT94|KATG_PARL1	28.000	0.38	13
tr|A0A317C068|A0A317C068_9GAMM	sp|Q12PF6|KATG_SHEDO	27.586	4.6	36
tr|A0A317C071|A0A317C071_9GAMM	sp|Q60V67|JHD1_CAEBR	26.316	4.2	53
tr|A0A317C073|A0A317C073_9GAMM	sp|Q01361|CP2DE_BOVIN	35.593	0.27	13
tr|A0A317C079|A0A317C079_9GAMM	sp|Q54C45|FRDA_DICDI	33.871	0.24	16
tr|A0A317C081|A0A317C081_9GAMM	sp|G3X982|AOXC_MOUSE	25.472	0.044	64
tr|A0A317C083|A0A317C083_9GAMM	sp|P0DOW2|AL10_ANELE	29.434	3.69e-23	66
tr|A0A317C089|A0A317C089_9GAMM	sp|Q92I65|COX2_RICCN	37.143	0.007	23
tr|A0A317C092|A0A317C092_9GAMM	sp|Q6QHT9|CP19A_ANGJA	41.667	3.2	17
tr|A0A317C094|A0A317C094_9GAMM	sp|Q60991|CP7B1_MOUSE	27.692	2.4	97
tr|A0A317C0A3|A0A317C0A3_9GAMM	sp|Q5ZL43|MTND_CHICK	43.243	3.1	3
tr|A0A317C0A4|A0A317C0A4_9GAMM	sp|Q9FMX0|SODF3_ARATH	26.190	1.2	18
tr|A0A317C0A8|A0A317C0A8_9GAMM	sp|Q8YK97|LILIP_NOSS1	26.797	0.043	34
tr|A0A317C0B2|A0A317C0B2_9GAMM	sp|Q0BPT8|MTND_GRABC	23.810	0.67	12
tr|A0A317C0B4|A0A317C0B4_9GAMM	sp|A6H4Q6|COX1_VANPO	36.364	0.039	16
